compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
SmallMolecule.txt,PUBCHEM.COMPOUND:135439384,2-Nitro-1-(propan-2-ylideneamino)guanidine,biolink:SmallMolecule,8,PUBCHEM.COMPOUND:135536302,2-Nitro-1-(propan-2-ylideneamino)guanidine,leader_changed,SmallMolecule.txt,biolink:SmallMolecule,8,8,
MolecularMixture.txt,PUBCHEM.COMPOUND:13908427,Tributylazanium chloride,biolink:MolecularMixture,8,PUBCHEM.COMPOUND:54408990,Tributylazanium chloride,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,8,8,
MolecularMixture.txt,PUBCHEM.COMPOUND:145753476,"6-[[4-[(6-Carboxy-2-pyridinyl)methyl]-1,4,7-triazonan-1-yl]methyl]pyridine-2-carboxylic acid;terbium",biolink:MolecularMixture,8,PUBCHEM.COMPOUND:135567230,"6-[[4-[(6-Carboxy-2-pyridinyl)methyl]-1,4,7-triazonan-1-yl]methyl]pyridine-2-carboxylic acid;terbium",leader_changed,MolecularMixture.txt,biolink:MolecularMixture,8,8,
MolecularMixture.txt,PUBCHEM.COMPOUND:24942421,Molybdenum;phosphane;vanadium,biolink:MolecularMixture,8,PUBCHEM.COMPOUND:173396874,Molybdenum;phosphane;vanadium,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,8,8,
SmallMolecule.txt,PUBCHEM.COMPOUND:4139399,"1-N',10-N'-dihydroxydecanediimidamide",biolink:SmallMolecule,8,PUBCHEM.COMPOUND:40479311,"1-N',10-N'-dihydroxydecanediimidamide",leader_changed,SmallMolecule.txt,biolink:SmallMolecule,8,8,
MolecularMixture.txt,PUBCHEM.COMPOUND:424375,"4-amino-1-(3,4-dihydroxy-5-methanidyloxolan-2-yl)pyrimidin-2-one;cobalt(2+);[5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl hydrogen phosphate",biolink:MolecularMixture,8,PUBCHEM.COMPOUND:49874442,"4-amino-1-(3,4-dihydroxy-5-methanidyloxolan-2-yl)pyrimidin-2-one;cobalt(2+);[5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl hydrogen phosphate",leader_changed,MolecularMixture.txt,biolink:MolecularMixture,8,8,
MolecularMixture.txt,PUBCHEM.COMPOUND:437433,"[5-benzo[f]benzimidazol-3-yl-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl hydrogen phosphate;cobalt(2+);cyanide",biolink:MolecularMixture,8,PUBCHEM.COMPOUND:49873830,"[5-benzo[f]benzimidazol-3-yl-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl hydrogen phosphate;cobalt(2+);cyanide",leader_changed,MolecularMixture.txt,biolink:MolecularMixture,8,8,
MolecularMixture.txt,PUBCHEM.COMPOUND:49874445,"2-(7-amino-2H-pyrazolo[4,3-d]pyrimidin-3-yl)-5-methanidyloxolane-3,4-diol;cobalt(2+);[5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl hydrogen phosphate",biolink:MolecularMixture,8,PUBCHEM.COMPOUND:424380,"2-(7-amino-2H-pyrazolo[4,3-d]pyrimidin-3-yl)-5-methanidyloxolane-3,4-diol;cobalt(2+);[5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl hydrogen phosphate",leader_changed,MolecularMixture.txt,biolink:MolecularMixture,8,8,
MolecularMixture.txt,PUBCHEM.COMPOUND:49874449,"cobalt(2+);[5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl hydrogen phosphate;ethanamine",biolink:MolecularMixture,8,PUBCHEM.COMPOUND:424385,"cobalt(2+);[5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl hydrogen phosphate;ethanamine",leader_changed,MolecularMixture.txt,biolink:MolecularMixture,8,8,
SmallMolecule.txt,PUBCHEM.COMPOUND:7188248,4-methyl-N-[methyl(phenyl)-lambda4-sulfanylidene]benzenesulfonamide,biolink:SmallMolecule,8,PUBCHEM.COMPOUND:6928735,4-methyl-N-[methyl(phenyl)-lambda4-sulfanylidene]benzenesulfonamide,leader_changed,SmallMolecule.txt,biolink:SmallMolecule,8,8,
