compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Food.txt,DRUGBANK:DB10514,Cantaloupe,biolink:Food,4,DRUGBANK:DB10514,Cantaloupe,moved,ComplexMolecularMixture.txt,biolink:ComplexMolecularMixture,4,4,"DRUGBANK:DB10514 ""Cantaloupe""; DRUGBANK:DB15611 ""Muskmelon""; RXCUI:892517 """"; UMLS:C2702356 ""cantaloupe allergenic extract"""
Food.txt,CHEBI:25681,omega-3 fatty acid,biolink:Food,7,CHEBI:25681,omega-3 fatty acid,moved,MolecularMixture.txt,biolink:MolecularMixture,7,7,"CHEBI:25681 ""omega-3 fatty acid""; DRUGBANK:DB11133 ""Omega-3 fatty acids""; INCHIKEY:QPEOIOLHJXXJFN-GNGJDXFDSA-N """"; MESH:D015525 ""Fatty Acids, Omega-3""; PUBCHEM.COMPOUND:56842239 ""Omega-3 Fatty Acids"""
Food.txt,CHEBI:36009,omega-6 fatty acid,biolink:Food,7,CHEBI:36009,omega-6 fatty acid,moved,MolecularMixture.txt,biolink:MolecularMixture,7,7,"CHEBI:36009 ""omega-6 fatty acid""; DRUGBANK:DB13168 ""Omega-6 fatty acids""; INCHIKEY:ZCDMRPMKAQLWAO-PZLFCYFRSA-N """"; MESH:D043371 ""Fatty Acids, Omega-6""; PUBCHEM.COMPOUND:56842208 ""Omega-6 Fatty Acids"""
Food.txt,CHEBI:15444,(1->4)-alpha-D-glucan,biolink:Food,24,CHEBI:15444,(1->4)-alpha-D-glucan,moved,SmallMolecule.txt,biolink:SmallMolecule,24,24,"CAS:207-757-8 """"; CAS:27707-45-5 """"; CAS:492-62-6 """"; CAS:607-980-4 """"; CAS:9005-82-7 """""
Food.txt,CHEBI:27300,vitamin D,biolink:Food,20,CHEBI:27300,vitamin D,moved,SmallMolecule.txt,biolink:SmallMolecule,20,20,"CAS:1406-16-2 """"; CAS:50-14-6 """"; CHEBI:27300 ""vitamin D""; CHEBI:28934 ""vitamin D2""; CHEMBL.COMPOUND:CHEMBL1536 ""ERGOCALCIFEROL"""
Food.txt,CHEBI:17234,glucose,biolink:Food,14,CHEBI:17234,glucose,moved,SmallMolecule.txt,biolink:SmallMolecule,14,14,"CAS:19030-38-7 """"; CAS:28823-03-2 """"; CAS:58367-01-4 """"; CHEBI:17234 ""glucose""; CHEMBL.COMPOUND:CHEMBL448805 """""
Food.txt,CHEBI:27013,tocopherol,biolink:Food,14,CHEBI:27013,tocopherol,moved,SmallMolecule.txt,biolink:SmallMolecule,14,14,"CAS:1406-66-2 """"; CAS:604-195-9 """"; CAS:73980-80-0 """"; CAS:7616-22-0 """"; CHEBI:27013 ""tocopherol"""
Food.txt,CHEBI:140618,castor oil,biolink:Food,12,CHEBI:140618,castor oil,moved,SmallMolecule.txt,biolink:SmallMolecule,12,12,"CAS:8001-79-4 """"; CAS:944472-39-3 """"; CHEBI:140618 ""castor oil""; CHEMBL.COMPOUND:CHEMBL2109005 ""CASTOR OIL""; DRUGBANK:DB11113 ""Castor oil"""
