C000597196	EC 4.4.1.5
C000597198	EC 4.4.1.5
C000597251	EC 4.1.1.49
C000597358	EC 3.5.4.16
C000597421	EC 3.4.13.18
C000597422	EC 3.4.13.18
C000597423	EC 1.14.14.1
C000597451	EC 3.2.1.23
C000597536	EC 1.6.5.2
C000597602	EC 2.7.11.1
C000597689	EC 2.3.2.27
C000597753	EC 2.7.11.1
C000597754	EC 2.7.11.1
C000597889	EC 2.7.11.1
C000597893	EC 4.2.1.3
C000597964	EC 1.17.4.4
C000597966	EC 3.4.25.1
C000598049	EC 2.7.1.1
C000598202	EC 3.5.2.6
C000598222	EC 3.5.1.98
C000598255	EC 3.1.3.16
C000598269	EC 2.7.10.2
C000598273	EC 2.7.10.1
C000598275	EC 2.7.11.1
C000598332	EC 3.2.1.21
C000598372	EC 1.10.3.2
C000598429	EC 3.1.26.5
C000598433	EC 2.7.11.25
C000598469	EC 1.14.14.18
C000598578	EC 3.4.19.12
C000598634	EC 3.6.4.13
C000598680	EC 2.4.1.165
C000598724	EC 3.6.4.2
C000598728	EC 2.7.11.1
C000598910	EC 2.3.2.26
C000598949	EC 2.4.1.17
C000598951	EC 2.7.1.138
C000598989	EC 3.6.4.2
C000599076	EC 2.3.1.9
C000599100	EC 2.7.11.1
C000599123	EC 7.1.2.2
C000599216	EC 3.1.22.4
C000599261	EC 2.3.2.26
C000599269	EC 2.7.12.1
C000599465	EC 3.5.4.4
C000599591	EC 1.1.1.41
C000599701	EC 2.7.1.137
C000599706	EC 2.3.1.24
C000599728	EC 3.5.2.6
C000599729	EC 2.5.1.18
C000599813	EC 3.2.1.39
C000599816	EC 1.3.8.7
C000599817	EC 2.3.1.24
C000599850	EC 3.1.3.1
C000599872	EC 2.7.11.1
C000599892	EC 3.2.2.19
C000599977	EC 3.1.3.56
C000600036	EC 1.11.1.7
C000600037	EC 3.5.2.6
C000600038	EC 3.5.2.6
C000600039	EC 3.5.2.6
C000600055	EC 3.1.3.16
C000600158	EC 3.5.3.1
C000600217	EC 4.1.2.10
C000600234	EC 3.1.3.16
C000600280	EC 2.1.1.43
C000600281	EC 2.3.1.21
C000600305	EC 2.3.2.27
C000600349	EC 5.6.1.1
C000600377	EC 2.1.1.45
C000600378	EC 1.14.15.18
C000600412	EC 2.5.1.18
C000600435	EC 2.7.6.1
C000600472	EC 3.4.19.12
C000600515	EC 3.4.25.1
C000600529	EC 4.2.1.17
C000600534	EC 2.7.1.162
C000600794	EC 2.3.1.23
C000600925	EC 3.6.4.13
C000600926	EC 3.6.4.13
C000600927	EC 3.6.4.13
C000600969	EC 3.1.1.4
C000601043	EC 3.4.19.12
C000601044	EC 3.5.2.6
C000601045	EC 3.5.2.6
C000601047	EC 3.5.2.6
C000601317	EC 3.6.5.2
C000601493	EC 3.1.4.12
C000601633	EC 3.6.4.13
C000601635	EC 2.3.2.23
C000601656	EC 3.2.1.14
C000601657	EC 3.2.1.14
C000601753	EC 2.7.11.22
C000601756	EC 6.1.1.22
C000601888	EC 3.1.4.11
C000601951	EC 2.7.11.1
C000601995	EC 3.6.5.2
C000602029	EC 2.7.10.1
C000602030	EC 3.4.24.65
C000602031	EC 3.4.24.65
C000602072	EC 3.1.3.16
C000602075	EC 2.3.2.27
C000602132	EC 5.3.4.1
C000602139	EC 2.4.1.1
C000602234	EC 2.7.11.25
C000602235	EC 2.7.11.25
C000602250	EC 3.6.4.12
C000602253	EC 3.5.2.6
C000602254	EC 3.5.2.6
C000602272	EC 2.7.11.1
C000602273	EC 2.7.11.1
C000602280	EC 3.5.2.6
C000602307	EC 2.1.1.43
C000602549	EC 1.1.1.21
C000602550	EC 1.1.1.21
C000602561	EC 7.1.2.2
C000602565	EC 2.3.2.27
C000602619	EC 2.5.1.18
C000602620	EC 3.5.4.4
C000602621	EC 3.5.4.4
C000602631	EC 1.12.7.2
C000602637	EC 3.1.1.7
C000602659	EC 3.4.14.5
C000602665	EC 2.3.2.26
C000602670	EC 3.6.4.13
C000602672	EC 3.1.3.48
C000602677	EC 3.4.19.12
C000602679	EC 2.3.1.51
C000602769	EC 2.7.11.1
C000602831	EC 3.4.19.12
C000602854	EC 3.1.3.16
C000602971	EC 5.3.4.1
C000602975	EC 2.3.2.26
C000602987	EC 2.3.2.27
C000603016	EC 2.7.11.22
C000603030	EC 3.6.1.53
C000603057	EC 1.1.99.2
C000603089	EC 1.1.1.21
C000603104	EC 1.3.8.7
C000603105	EC 3.5.1.98
C000603177	EC 3.4.19.12
C000603239	EC 2.7.10.1
C000603242	EC 2.7.10.1
C000603244	EC 2.7.10.1
C000603268	EC 3.1.1.6
C000603269	EC 3.1.1.6
C000603303	EC 2.3.2.27
C000603313	EC 2.3.2.27
C000603338	EC 3.6.4.13
C000603419	EC 2.7.4.8
C000603421	EC 3.1.2.1
C000603441	EC 2.7.11.1
C000603468	EC 3.6.4.13
C000603471	EC 2.3.2.27
C000603502	EC 3.5.2.6
C000603519	EC 3.5.1.89
C000603558	EC 2.7.11.1
C000603592	EC 2.7.11.1
C000603652	EC 3.1.1.23
C000603653	EC 3.1.1.23
C000603665	EC 2.3.2.27
C000603876	EC 3.1.3.2
C000603918	EC 3.4.24.82
C000603919	EC 3.4.24.82
C000603999	EC 2.7.7.7
C000604006	EC 2.1.1.43
C000604137	EC 3.5.4.4
C000604138	EC 3.5.4.4
