gard_id,gard_label,target,target_label,clique_leader,clique_type,clique_members_joined
GARD:28380,Discordant Ventriculoarterial Connection,NCIT:C98914,Discordant Ventriculoarterial Connection,MONDO:0000153,biolink:Disease,17
GARD:27513,Disseminated Juvenile Xanthogranuloma,NCIT:C81772,Disseminated Juvenile Xanthogranuloma,UMLS:C2825742,biolink:Disease,2
GARD:28226,EBV-Positive Inflammatory Follicular Dendritic Cell/Fibroblastic Reticular Cell Tumor,NCIT:C172847,EBV-Positive Inflammatory Follicular Dendritic Cell/Fibroblastic Reticular Cell Tumor,UMLS:C5419896,biolink:Disease,2
GARD:28212,EBV-Positive Inflammatory Follicular Dendritic Cell/Fibroblastic Reticular Cell Tumor of the Digestive System,NCIT:C150704,EBV-Positive Inflammatory Follicular Dendritic Cell/Fibroblastic Reticular Cell Tumor of the Digestive System,UMLS:C5421272,biolink:Disease,2
GARD:28344,Eiken Type Chondrodysplasia,NCIT:C131811,Eiken Type Chondrodysplasia,UMLS:C4329784,biolink:Disease,2
GARD:28324,Encapsulating peritoneal sclerosis,MONDO:1010131,encapsulating peritoneal sclerosis,MONDO:1010131,biolink:Disease,6
GARD:28303,Erythromelalgia,MONDO:0016028,erythromelalgia,MONDO:0016028,biolink:Disease,15
GARD:28275,Extraosseous/Peripheral Ameloblastoma,NCIT:C27396,Extraosseous/Peripheral Ameloblastoma,UMLS:C1333513,biolink:Disease,2
GARD:28379,Factor V Leiden,NCIT:C98573,Factor V Leiden,UMLS:C0584960,biolink:Disease,4
GARD:28305,Fairbank disease,MONDO:0023106,Fairbank disease,MONDO:0023106,biolink:Disease,4
GARD:28353,Familial Catecholamine-Induced QT Prolongation,NCIT:C185245,Familial Catecholamine-Induced QT Prolongation,UMLS:C5669784,biolink:Disease,2
GARD:28333,FGFR3 Chondrodysplasia,NCIT:C118696,FGFR3 Chondrodysplasia,UMLS:C3899171,biolink:Disease,2
GARD:27512,Fibroblastic Reticular Cell Sarcoma,NCIT:C81758,Fibroblastic Reticular Cell Sarcoma,UMLS:C2825739,biolink:Disease,4
GARD:28276,Follicular Ameloblastoma,NCIT:C27397,Follicular Ameloblastoma,UMLS:C0457530,biolink:Disease,3
GARD:28369,Genu Varum,MESH:D056305,Genu Varum,MESH:D056305,biolink:Disease,1
GARD:27494,Ghost Cell Odontogenic Carcinoma,NCIT:C4311,Ghost Cell Odontogenic Carcinoma,UMLS:C0334566,biolink:Disease,4
GARD:22369,GNAO1-related developmental delay-seizures-movement disorder spectrum,orphanet:592564,GNAO1-related developmental delay-seizures-movement disorder spectrum,MONDO:0060491,biolink:Disease,6
GARD:28362,Granular Cell Ameloblastoma,NCIT:C27398,Granular Cell Ameloblastoma,UMLS:C0457532,biolink:Disease,3
GARD:28252,Head and Neck Erdheim-Chester Disease,NCIT:C202972,Head and Neck Erdheim-Chester Disease,UMLS:C5908879,biolink:Disease,2
GARD:28229,Head and Neck Follicular Dendritic Cell Sarcoma,NCIT:C173580,Head and Neck Follicular Dendritic Cell Sarcoma,UMLS:C5420276,biolink:Disease,2
GARD:28227,Head and Neck Histiocytic and Dendritic Cell Neoplasm,NCIT:C173485,Head and Neck Histiocytic and Dendritic Cell Neoplasm,UMLS:C5420231,biolink:Disease,2
GARD:28250,Head and Neck Juvenile Xanthogranuloma,NCIT:C202967,Head and Neck Juvenile Xanthogranuloma,UMLS:C5908877,biolink:Disease,2
GARD:28228,Head and Neck Langerhans Cell Histiocytosis,NCIT:C173486,Head and Neck Langerhans Cell Histiocytosis,UMLS:C5420232,biolink:Disease,2
GARD:28251,Head and Neck Rosai-Dorfman-Destombes Disease,NCIT:C202971,Head and Neck Rosai-Dorfman-Destombes Disease,UMLS:C5908878,biolink:Disease,2
GARD:28317,Hengel-Maroofian-Schols syndrome,MONDO:0859208,Hengel-Maroofian-Schols syndrome,MONDO:0859208,biolink:Disease,6
GARD:28370,Hereditary Angioedema Types I and II,MESH:D056829,Hereditary Angioedema Types I and II,UMLS:C2717905,biolink:Disease,3
GARD:16958,Hereditary sensory and autonomic neuropathy type 1B,orphanet:139564,Hereditary sensory and autonomic neuropathy type 1B,MONDO:0044720,biolink:Disease,15
GARD:28339,Holorachischisis,NCIT:C124543,Holorachischisis,UMLS:C0685866,biolink:Disease,3
GARD:28363,Hyaline Membrane Syndrome,NCIT:C27562,Hyaline Membrane Syndrome,UMLS:C1334061,biolink:Disease,2
GARD:28248,Hybrid Odontogenic Fibroma with Central Giant Cell Granuloma,NCIT:C202081,Hybrid Odontogenic Fibroma with Central Giant Cell Granuloma,UMLS:C5908326,biolink:Disease,2
GARD:28326,Hyperacute transplant rejection,MONDO:1010186,hyperacute transplant rejection,MONDO:1010186,biolink:Disease,1
GARD:28341,Hyperpipecolatemia,NCIT:C125593,Hyperpipecolatemia,MONDO:0019609,biolink:Disease,18
GARD:28323,ICHAD syndrome,MONDO:0979234,ICHAD syndrome,MONDO:0979234,biolink:Disease,6
GARD:28330,Ileal Atresia,NCIT:C101026,Ileal Atresia,HP:0011102,biolink:PhenotypicFeature,5
GARD:28354,Immune Effector Cell Associated Neurotoxicity Syndrome Grade 1,NCIT:C188936,Immune Effector Cell Associated Neurotoxicity Syndrome Grade 1,UMLS:C5539144,biolink:Disease,2
GARD:28355,Immune Effector Cell Associated Neurotoxicity Syndrome Grade 2,NCIT:C188937,Immune Effector Cell Associated Neurotoxicity Syndrome Grade 2,UMLS:C5539145,biolink:Disease,2
GARD:28356,Immune Effector Cell Associated Neurotoxicity Syndrome Grade 3,NCIT:C188939,Immune Effector Cell Associated Neurotoxicity Syndrome Grade 3,UMLS:C5539321,biolink:Disease,2
GARD:28357,Immune Effector Cell Associated Neurotoxicity Syndrome Grade 4,NCIT:C188940,Immune Effector Cell Associated Neurotoxicity Syndrome Grade 4,UMLS:C5539146,biolink:Disease,2
GARD:28358,Immune Effector Cell Associated Neurotoxicity Syndrome Grade 5,NCIT:C201844,Immune Effector Cell Associated Neurotoxicity Syndrome Grade 5,UMLS:C5539147,biolink:Disease,2
GARD:28321,Immunodeficiency 117,MONDO:0958011,immunodeficiency 117,MONDO:0958011,biolink:Disease,6
GARD:28312,Immunodeficiency 62,MONDO:0032763,immunodeficiency 62,MONDO:0032763,biolink:Disease,7
GARD:28315,Immunodeficiency 69,MONDO:0033541,immunodeficiency 69,MONDO:0033541,biolink:Disease,6
GARD:28308,Immunodeficiency 82 with systemic inflammation,MONDO:0030308,immunodeficiency 82 with systemic inflammation,MONDO:0030308,biolink:Disease,6
GARD:28309,Immunodeficiency 84,MONDO:0030333,immunodeficiency 84,MONDO:0030333,biolink:Disease,6
GARD:28310,Immunodeficiency 92,MONDO:0030498,immunodeficiency 92,MONDO:0030498,biolink:Disease,6
GARD:28311,Immunodeficiency 93 and hypertrophic cardiomyopathy,MONDO:0030528,immunodeficiency 93 and hypertrophic cardiomyopathy,MONDO:0030528,biolink:Disease,6
GARD:28337,Imperforate Vagina,NCIT:C123639,Imperforate Vagina,UMLS:C0266414,biolink:Disease,2
GARD:22313,Infantile-onset pulmonary alveolar proteinosis-hypogammaglobulinemia,orphanet:572428,Infantile-onset pulmonary alveolar proteinosis-hypogammaglobulinemia,MONDO:0020840,biolink:Disease,6
GARD:28302,Intellectual developmental disorder with dysmorphic facies and ptosis,MONDO:0015022,intellectual developmental disorder with dysmorphic facies and ptosis,MONDO:0015022,biolink:Disease,5
GARD:28314,"Intellectual developmental disorder with nasal speech, dysmorphic facies, and variable skeletal anomalies",MONDO:0032832,"intellectual developmental disorder with nasal speech, dysmorphic facies, and variable skeletal anomalies",MONDO:0032832,biolink:Disease,7
GARD:28319,Intellectual developmental disorder with or without peripheral neuropathy,MONDO:0859240,intellectual developmental disorder with or without peripheral neuropathy,MONDO:0859240,biolink:Disease,5
GARD:28289,Intestinal atresia,MONDO:0001045,intestinal atresia,MONDO:0001045,biolink:Disease,10
GARD:28296,Kashin-Beck disease,MONDO:0005610,Kashin-Beck disease,MONDO:0005610,biolink:Disease,8
GARD:28232,Lacrimal Gland Epithelial-Myoepithelial Carcinoma,NCIT:C175288,Lacrimal Gland Epithelial-Myoepithelial Carcinoma,UMLS:C5446408,biolink:Disease,2
GARD:28231,Lacrimal Gland Myoepithelial Carcinoma,NCIT:C175274,Lacrimal Gland Myoepithelial Carcinoma,UMLS:C5448120,biolink:Disease,2
GARD:27456,"Langerhans Cell Histiocytosis, Polyostotic",NCIT:C150702,"Langerhans Cell Histiocytosis, Polyostotic",UMLS:C4727834,biolink:Disease,3
GARD:28329,Linkeropathy,MONDO:1040022,linkeropathy,MONDO:1040022,biolink:Disease,1
GARD:28318,"Macrocephaly, neurodevelopmental delay, lymphoid hyperplasia, and persistent fetal hemoglobin",MONDO:0859231,"macrocephaly, neurodevelopmental delay, lymphoid hyperplasia, and persistent fetal hemoglobin",MONDO:0859231,biolink:Disease,5
GARD:28371,Malformations of Cortical Development,MESH:D054220,Malformations of Cortical Development,MONDO:0017094,biolink:Disease,11
GARD:28273,Malignant Digestive System Histiocytic and Dendritic Cell Neoplasm,NCIT:C213904,Malignant Digestive System Histiocytic and Dendritic Cell Neoplasm,UMLS:C5985258,biolink:Disease,2
GARD:28272,Malignant Head and Neck Histiocytic and Dendritic Cell Neoplasm,NCIT:C213903,Malignant Head and Neck Histiocytic and Dendritic Cell Neoplasm,UMLS:C5985257,biolink:Disease,2
GARD:28269,Malignant Histiocytic and Dendritic Cell Neoplasm,NCIT:C212210,Malignant Histiocytic and Dendritic Cell Neoplasm,UMLS:C5983925,biolink:Disease,2
GARD:28199,"Malignant Mixed Tumor, Not Otherwise Specified",NCIT:C121787,"Malignant Mixed Tumor, Not Otherwise Specified",UMLS:C4054577,biolink:Disease,2
GARD:27498,Malignant Odontogenic Neoplasm,NCIT:C4812,Malignant Odontogenic Neoplasm,UMLS:C0334558,biolink:Disease,7
GARD:28234,Mast Cell Leukemia with an Associated Myeloid Neoplasm,NCIT:C188031,Mast Cell Leukemia with an Associated Myeloid Neoplasm,UMLS:C5854885,biolink:Disease,2
GARD:27485,Mature Plasmacytoid Dendritic Cell Proliferation Associated with Myeloid Neoplasm,NCIT:C200513,Mature Plasmacytoid Dendritic Cell Proliferation Associated with Myeloid Neoplasm,UMLS:C5854287,biolink:Disease,2
GARD:27465,Mediastinal Follicular Dendritic Cell Sarcoma,NCIT:C183374,Mediastinal Follicular Dendritic Cell Sarcoma,UMLS:C2211016,biolink:Disease,2
GARD:28340,Meningohydroencephalocele,NCIT:C124558,Meningohydroencephalocele,UMLS:C4087051,biolink:Disease,2
GARD:28306,Mesomelic dysplasia,MONDO:0023599,mesomelic dysplasia,MONDO:0023599,biolink:Disease,5
GARD:27499,Metastasizing Ameloblastoma,NCIT:C54297,Metastasizing Ameloblastoma,UMLS:C0334567,biolink:Disease,3
GARD:28258,Metastatic Childhood Colorectal Carcinoma,NCIT:C209752,Metastatic Childhood Colorectal Carcinoma,UMLS:C5962486,biolink:Disease,2
GARD:28257,Metastatic Childhood Lung Carcinoma,NCIT:C209751,Metastatic Childhood Lung Carcinoma,UMLS:C5962485,biolink:Disease,2
GARD:28288,Midface dysplasia,MONDO:0000446,midface dysplasia,MONDO:0000446,biolink:Disease,2
GARD:28346,Mitochondrially Inherited Nonsyndromic Sensorineural Deafness,NCIT:C148321,Mitochondrially Inherited Nonsyndromic Sensorineural Deafness,UMLS:C4724974,biolink:Disease,2
GARD:28259,Multiple Mastocytomas of the Skin,NCIT:C212107,Multiple Mastocytomas of the Skin,UMLS:C5983853,biolink:Disease,2
GARD:28349,Muscular Dystrophy Secondary to Mitochondrial Disorder,NCIT:C168331,Muscular Dystrophy Secondary to Mitochondrial Disorder,UMLS:C5238795,biolink:Disease,2
GARD:28350,Muscular Dystrophy Secondary to Oxidative Phosphorylation Disorder,NCIT:C168332,Muscular Dystrophy Secondary to Oxidative Phosphorylation Disorder,NCIT:C168332,biolink:Disease,1
GARD:28372,Myokymia,MESH:D020385,Myokymia,HP:0002411,biolink:PhenotypicFeature,7
GARD:28291,Nephrocalcinosis,MONDO:0001567,nephrocalcinosis,MONDO:0001567,biolink:Disease,12
GARD:28373,Neurocysticercosis,MESH:D020019,Neurocysticercosis,UMLS:C0338437,biolink:Disease,5
GARD:28313,Neurodevelopmental disorder with microcephaly and structural brain anomalies,MONDO:0032779,neurodevelopmental disorder with microcephaly and structural brain anomalies,MONDO:0032779,biolink:Disease,5
GARD:28243,Non-Calcifying/Langerhans Cell-Rich Calcifying Epithelial Odontogenic Tumor,NCIT:C202059,Non-Calcifying/Langerhans Cell-Rich Calcifying Epithelial Odontogenic Tumor,UMLS:C5908317,biolink:Disease,2
GARD:28367,Non-Trisomic Autosomal Aneuploidy,NCIT:C84561,Non-Trisomic Autosomal Aneuploidy,UMLS:C2827493,biolink:Disease,2
GARD:22416,NRXN1-related severe neurodevelopmental disorder-motor stereotypies-chronic constipation-sleep-wake cycle disturbance,orphanet:600663,NRXN1-related severe neurodevelopmental disorder-motor stereotypies-chronic constipation-sleep-wake cycle disturbance,MONDO:0013690,biolink:Disease,6
GARD:27461,Odontogenic Carcinoma,NCIT:C173720,Odontogenic Carcinoma,UMLS:C5401355,biolink:Disease,2
GARD:27495,Odontogenic Fibroma,NCIT:C4314,Odontogenic Fibroma,UMLS:C5887069,biolink:Disease,2
GARD:28245,"Odontogenic Fibroma, Amyloid Subtype",NCIT:C202078,"Odontogenic Fibroma, Amyloid Subtype",UMLS:C5908323,biolink:Disease,2
GARD:28246,"Odontogenic Fibroma, Granular Cell Subtype",NCIT:C202079,"Odontogenic Fibroma, Granular Cell Subtype",UMLS:C5908324,biolink:Disease,2
GARD:28247,"Odontogenic Fibroma, Ossifying Subtype",NCIT:C202080,"Odontogenic Fibroma, Ossifying Subtype",UMLS:C5908325,biolink:Disease,2
GARD:28282,Odontogenic Myxofibroma,NCIT:C7452,Odontogenic Myxofibroma,UMLS:C0334569,biolink:Disease,6
GARD:27511,Odontogenic Myxoma,NCIT:C7501,Odontogenic Myxoma,UMLS:C0334569,biolink:Disease,6
GARD:27463,Odontogenic Sarcoma,NCIT:C173738,Odontogenic Sarcoma,UMLS:C0334558,biolink:Disease,7
GARD:27460,Oral Cavity Langerhans Cell Histiocytosis,NCIT:C173487,Oral Cavity Langerhans Cell Histiocytosis,UMLS:C5420233,biolink:Disease,2
GARD:28360,Ossification of Anterior Longitudinal Ligament,NCIT:C202118,Ossification of Anterior Longitudinal Ligament,UMLS:C1142380,biolink:Disease,3
GARD:28359,Ossification of the Ligamentum Flavum,NCIT:C202071,Ossification of the Ligamentum Flavum,UMLS:C5566262,biolink:Disease,4
