gard_id,gard_label,target,target_label,clique_leader,clique_type,clique_members_joined
GARD:28264,Refractory Rosai-Dorfman-Destombes Disease,NCIT:C212193,Refractory Rosai-Dorfman-Destombes Disease,UMLS:C5983911,biolink:Disease,2
GARD:28361,Refractory Secondary Hemophagocytic Lymphohistiocytosis,NCIT:C207802,Refractory Secondary Hemophagocytic Lymphohistiocytosis,UMLS:C5960711,biolink:Disease,2
GARD:28335,Rhizomelic Dysplasia,NCIT:C121675,Rhizomelic Dysplasia,UMLS:C4053766,biolink:Disease,3
GARD:28277,Salivary Gland Myoepithelial Carcinoma,NCIT:C35700,Salivary Gland Myoepithelial Carcinoma,UMLS:C1335904,biolink:Disease,3
GARD:27462,Sclerosing Odontogenic Carcinoma,NCIT:C173733,Sclerosing Odontogenic Carcinoma,UMLS:C5401300,biolink:Disease,2
GARD:28375,Selective Antibody Deficiency with Normal Immunoglobulins,NCIT:C85073,Selective Antibody Deficiency with Normal Immunoglobulins,UMLS:C2827583,biolink:Disease,2
GARD:27508,Squamous Odontogenic Tumor,NCIT:C7112,Squamous Odontogenic Tumor,UMLS:C1458142,biolink:Disease,4
GARD:27506,Stage I Childhood Hepatocellular Carcinoma AJCC v6 and v7,NCIT:C5710,Stage I Childhood Hepatocellular Carcinoma AJCC v6 and v7,UMLS:C4520726,biolink:Disease,2
GARD:27505,Stage II Childhood Hepatocellular Carcinoma AJCC v6 and v7,NCIT:C5709,Stage II Childhood Hepatocellular Carcinoma AJCC v6 and v7,UMLS:C4520727,biolink:Disease,2
GARD:28383,Surfactant Protein A Deficiency,NCIT:C99072,Surfactant Protein A Deficiency,UMLS:C3274522,biolink:Disease,2
GARD:28381,Surfactant Protein C Deficiency,NCIT:C99069,Surfactant Protein C Deficiency,UMLS:C3274519,biolink:Disease,2
GARD:28382,Surfactant Protein D Deficiency,NCIT:C99071,Surfactant Protein D Deficiency,UMLS:C3274521,biolink:Disease,2
GARD:28338,Syringomyelia and Hydromyelia,NCIT:C123643,Syringomyelia and Hydromyelia,UMLS:C4053961,biolink:Disease,2
GARD:28233,Systemic Mastocytosis with an Associated Germ Cell Tumor,NCIT:C186735,Systemic Mastocytosis with an Associated Germ Cell Tumor,UMLS:C5670726,biolink:Disease,2
GARD:28376,Thyroid Dysgenesis,MESH:D050033,Thyroid Dysgenesis,MONDO:0024264,biolink:Disease,10
GARD:28216,Thyroid Gland Follicular Dendritic Cell Sarcoma,NCIT:C156408,Thyroid Gland Follicular Dendritic Cell Sarcoma,UMLS:C2213266,biolink:Disease,2
GARD:28214,Thyroid Gland Histiocytic and Dendritic Cell Neoplasm,NCIT:C156406,Thyroid Gland Histiocytic and Dendritic Cell Neoplasm,UMLS:C4744801,biolink:Disease,2
GARD:28215,Thyroid Gland Langerhans Cell Histiocytosis,NCIT:C156407,Thyroid Gland Langerhans Cell Histiocytosis,UMLS:C4744802,biolink:Disease,2
GARD:27457,Thyroid Gland Rosai-Dorfman-Destombes Disease,NCIT:C156409,Thyroid Gland Rosai-Dorfman-Destombes Disease,UMLS:C4744803,biolink:Disease,2
GARD:28343,Tissue Kallikrein Deficiency,NCIT:C131651,Tissue Kallikrein Deficiency,UMLS:C4331419,biolink:Disease,2
GARD:22370,TRAF7-associated heart defect-digital anomalies-facial dysmorphism-motor and speech delay syndrome,orphanet:592570,TRAF7-associated heart defect-digital anomalies-facial dysmorphism-motor and speech delay syndrome,MONDO:0032572,biolink:Disease,6
GARD:28325,Transplant rejection,MONDO:1010185,transplant rejection,MONDO:1010185,biolink:Disease,3
GARD:28377,Trigger Finger Disorder,MESH:D052582,Trigger Finger Disorder,MONDO:0008600,biolink:Disease,13
GARD:28211,Tumors Derived from Langerhans Cells,NCIT:C150692,Tumors Derived from Langerhans Cells,UMLS:C4725926,biolink:Disease,2
GARD:27491,Unicystic Ameloblastoma,NCIT:C39756,Unicystic Ameloblastoma,UMLS:C0457521,biolink:Disease,3
GARD:28209,Unresectable Craniopharyngioma,NCIT:C148076,Unresectable Craniopharyngioma,UMLS:C4688353,biolink:Disease,2
GARD:28299,Vacuolar Neuromyopathy,MONDO:0011155,vacuolar Neuromyopathy,MONDO:0011155,biolink:Disease,6
GARD:28294,Wolffian adnexal tumor,MONDO:0004255,Wolffian adnexal tumor,MONDO:0004255,biolink:Disease,7
GARD:28378,XXXY and XXXXY Syndrome,NCIT:C85236,XXXY and XXXXY Syndrome,UMLS:C2827598,biolink:Disease,2
GARD:28352,YARSopathy,NCIT:C176704,YARSopathy,UMLS:C5447388,biolink:Disease,2
